"","iliad.txt","odyssey.txt"
"""'my",1,5
"""'the",1,1
"""'tis",9,0
"""'tuque",1,0
"""_gifts",1,0
"""_the_",1,0
"""abstain",1,0
"""accept",1,0
"""accept,",1,0
"""accursed",1,0
"""achilles",1,0
"""achilles!",1,0
"""achilles'",1,0
"""adam,",1,0
"""advance,",1,0
"""aeneas",1,0
"""aeneid,""",1,0
"""against",1,0
"""agamemnon,",1,1
"""ah",7,0
"""ah!",4,0
"""ah,",4,0
"""ajax",1,0
"""alas!",1,1
"""alas,",1,1
"""alcest.""",1,0
"""aleian",1,0
"""all",4,4
"""all-seeing",1,0
"""along",1,0
"""amidst",1,0
"""an",1,0
"""ancient",2,0
"""and",21,32
"""and,",1,0
"""andromache!",1,0
"""anger",1,0
"""another",1,0
"""antiquities",1,0
"""anything",1,0
"""apotheosis",1,0
"""approach,",2,0
"""are",3,3
"""arise,",2,0
"""arm,",1,0
"""as",7,13
"""assist,",1,0
"""at",5,2
"""atrides!",1,0
"""attend",1,0
"""augur",1,0
"""aurora",1,0
"""barbarous",1,0
"""be",7,1
"""because",1,0
"""before",1,0
"""behold",2,0
"""behold!",2,0
"""behold,",1,0
"""beloved",2,0
"""blest",1,0
"""blue-eyed",1,0
"""bold",1,0
"""bowless,""",1,0
"""brave",1,0
"""bright-eyed.""",1,0
"""brother,",1,0
"""but",4,14
"""by",6,4
"""calaber,""",1,0
"""can",3,1
"""canst",1,0
"""catalogue",1,0
"""cease",1,2
"""celestial",1,0
"""circled",1,0
"""cold",1,0
"""come",1,4
"""come,",1,1
"""conjuge",1,0
"""curb",1,0
"""cursed",3,0
"""daughter",1,3
"""de",1,0
"""defects,""",1,1
"""degenerate",1,0
"""descend,",1,0
"""descends",1,0
"""die",1,0
"""divine",2,0
"""dorians,""",1,0
"""double",1,0
"""down",1,0
"""egyptian",1,0
"""elgin",3,0
"""enough",1,0
"""enough,",3,0
"""enter,",1,0
"""ere",1,0
"""ever",1,0
"""everything",1,0
"""examining",1,0
"""excuse,",1,0
"""explains",1,0
"""fairest",1,0
"""famed",1,0
"""far",1,1
"""far-darting",1,0
"""far-shooting,""",1,0
"""fast",1,0
"""father!",1,0
"""fear",1,2
"""fellows",2,0
